year,latitude,longitude,ridership,ridership_coords
2024,40.666235,-73.884079,155361.0062,POINT (-73.884079 40.666235)
2024,40.666271,-73.980305,416108.5603,POINT (-73.980305 40.666271)
2024,40.667883,-73.950683,110425.4715,POINT (-73.950683 40.667883)
2024,40.668234,-73.834058,26015.1847,POINT (-73.834058 40.668234)
2024,40.668897,-73.932942,789473.0166,POINT (-73.932942 40.668897)
2024,40.669367,-73.901975,67012.9424,POINT (-73.901975 40.669367)
2024,40.669399,-73.942161,143939.6227,POINT (-73.942161 40.669399)
2024,40.669847,-73.950466,119958.8298,POINT (-73.950466 40.669847)
2024,40.670513,-73.958688,521343.6503,POINT (-73.958688 40.670513)
2024,40.670559,-73.989041,432672.7031,POINT (-73.989041 40.670559)
2024,40.671987,-73.964375,177224.4251,POINT (-73.964375 40.671987)
2024,40.672097,-73.835919,28106.6238,POINT (-73.835919 40.672097)
2024,40.67271,-73.890358,81843.9799,POINT (-73.890358 40.67271)
2024,40.67358,-73.995959,145324.0266,POINT (-73.995959 40.67358)
2024,40.67413,-73.88075,81852.4048,POINT (-73.88075 40.67413)
2024,40.674542,-73.896548,74899.0451,POINT (-73.896548 40.674542)
2024,40.674772,-73.957624,53507.6786,POINT (-73.957624 40.674772)
2024,40.675235,-73.971046,258176.2229,POINT (-73.971046 40.675235)
2024,40.675345,-73.903097,56822.4237,POINT (-73.903097 40.675345)
2024,40.675377,-73.872106,327964.1703,POINT (-73.872106 40.675377)
2024,40.676992,-73.898654,57246.5835,POINT (-73.898654 40.676992)
2024,40.677044,-73.86505,174237.8822,POINT (-73.86505 40.677044)
2024,40.67705,-73.972367,326356.2595,POINT (-73.972367 40.67705)
2024,40.677316,-73.98311,268482.4897,POINT (-73.98311 40.677316)
2024,40.678024,-73.891688,75440.9719,POINT (-73.891688 40.678024)
2024,40.67834,-73.911946,172781.1875,POINT (-73.911946 40.67834)
2024,40.678822,-73.920786,163277.7612,POINT (-73.920786 40.678822)
2024,40.678896,-73.904356,286294.4673,POINT (-73.904356 40.678896)
