address,rest_coords
32-0230 AVENUE11102.0,POINT (-73.920459296671 40.76644560212)
86DELANCEY STREET10002.0,POINT (-73.989650109506 40.718991051192)
29NORMAN AVENUE11222.0,POINT (-73.954538224145 40.724518703968)
7401METROPOLITAN AVENUE11379.0,POINT (-73.878204321933 40.712841688792)
217886 STREET11214.0,POINT (-73.994234550399 40.602190085862)
86ALLEN STREET10002.0,POINT (-73.990974191006 40.718016770438)
371473 STREET11372.0,POINT (-73.892626068395 40.748332216554)
41W 40TH ST10018.0,POINT (-73.983880673157 40.753069376416)
2426PITKIN AVENUE11208.0,POINT (-73.882875921729 40.673802126763)
1278NOSTRAND AVENUE11226.0,POINT (-73.950123380757 40.655834395852)
22006NORTHERN BLVD11361.0,POINT (-73.761474940957 40.761468620827)
69NEW STREET10004.0,POINT (-74.012400030957 40.705489328225)
3912UNION STREET11354.0,POINT (-73.826799459304 40.760935292682)
1820FLATBUSH AVENUE11210.0,POINT (-73.939962082675 40.625518891941)
1492141ST AVE11355.0,POINT (-73.815212022341 40.762248430248)
1051MORRIS PARK AVENUE10461.0,POINT (-73.854546352524 40.848874442278)
17817UNION TPKE11366.0,POINT (-73.789551207289 40.726456356789)
152COLUMBUS AVENUE10023.0,POINT (-73.981286872189 40.773997760035)
153-155AMSTERDAM AVE10023.0,POINT (-73.984106366524 40.775216856242)
1178BROADWAY10001.0,POINT (-73.988520022944 40.745302260438)
3682BNOSTRAND AVENUE11229.0,POINT (-73.940717614927 40.594291852423)
904MANHATTAN AVENUE11222.0,POINT (-73.954270811296 40.730389652883)
168EAST  116 STREET10029.0,POINT (-73.940863923623 40.798286090425)
704BURKE AVENUE10467.0,POINT (-73.866873715167 40.87142089883)
3810NOSTRAND AVENUE11235.0,POINT (-73.940047410947 40.590816601488)
1WEST FORDHAM ROAD10468.0,POINT (-73.901258351055 40.862776742241)
343PLEASANT AVENUE10035.0,POINT (-73.932110741938 40.796494416837)
333HENRY STREET11201.0,POINT (-73.996462583167 40.69024822523)
94 1/2GREENWICH STREET10006.0,POINT (-74.013551114642 40.708077516357)
67WALL ST10005.0,POINT (-74.008598499393 40.705415567507)
7929 AVENUE10019.0,POINT (-73.987754888784 40.765094643294)
997 AVENUE SOUTH10014.0,POINT (-74.003175258582 40.732934886991)
378METROPOLITAN AVENUE11211.0,POINT (-73.955526546965 40.714064269894)
